zone_id,monitored_or_unmonitored,station_count,raw_observation_count,training_rows,validation_rows,test_rows,total_supervised_rows,test_MAE,test_RMSE,test_R2,test_bias,test_sample_count,prediction_available,kriging_available
ZONE-LHR-0049,Monitored Physical Station,1,260,139,42,40,221,10.58,13.21,-1.164,9.48,40,True,True
ZONE-LHR-0050,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0051,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0052,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0053,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0054,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0055,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0056,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0057,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0058,Monitored Physical Station,3,604,197,108,95,400,16.56,19.94,0.226,10.03,95,True,True
ZONE-LHR-0059,Monitored Physical Station,5,1380,510,110,110,730,12.76,17.14,0.193,-3.08,110,True,True
ZONE-LHR-0060,Monitored Physical Station,2,479,57,110,109,276,10.04,12.3,0.255,3.11,109,True,True
ZONE-LHR-0061,Monitored Physical Station,2,615,143,110,101,354,12.04,15.09,0.096,5.31,101,True,True
ZONE-LHR-0062,Monitored Physical Station,4,1383,232,110,110,452,14.74,18.02,0.349,2.76,110,True,True
ZONE-LHR-0063,Monitored Physical Station,1,31,4,23,0,27,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0064,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0065,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0066,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0067,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0068,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0069,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0070,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0071,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0072,Monitored Physical Station,1,197,24,60,109,193,15.37,19.24,0.161,-2.62,109,True,True
ZONE-LHR-0073,Monitored Physical Station,2,511,67,110,110,287,11.95,14.37,0.214,2.11,110,True,True
ZONE-LHR-0074,Monitored Physical Station,5,1317,226,110,110,446,10.68,13.58,0.231,1.22,110,True,True
ZONE-LHR-0075,Monitored Physical Station,1,185,24,50,108,182,10.97,13.49,0.185,2.79,108,True,True
ZONE-LHR-0076,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0077,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0078,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0079,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0080,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0081,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0082,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0083,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0084,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0085,Monitored Physical Station,2,339,123,91,100,314,11.19,14.64,0.132,1.91,100,True,True
ZONE-LHR-0086,Monitored Physical Station,3,342,57,106,104,267,11.88,14.99,0.241,-0.2,104,True,True
ZONE-LHR-0087,Monitored Physical Station,5,1452,231,110,110,451,16.18,21.21,0.047,-0.18,110,True,True
ZONE-LHR-0088,Monitored Physical Station,4,542,60,110,107,277,12.02,16.14,0.131,0.46,107,True,True
ZONE-LHR-0089,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0090,Monitored Physical Station,1,167,57,106,1,164,N/A,N/A,N/A,N/A,1,True,True
ZONE-LHR-0091,Monitored Physical Station,1,257,35,110,109,254,10.62,13.71,0.221,1.39,109,True,True
ZONE-LHR-0092,Monitored Physical Station,1,279,59,110,109,278,10.73,14.17,0.273,0.16,109,True,True
ZONE-LHR-0093,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0094,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0095,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0096,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0097,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0098,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0099,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0100,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0101,Monitored Physical Station,1,277,59,107,109,275,13.31,15.9,0.2,4.15,109,True,True
ZONE-LHR-0102,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0103,Monitored Physical Station,5,797,223,110,109,442,10.53,12.37,0.254,3.14,109,True,True
ZONE-LHR-0104,Monitored Physical Station,1,73,40,28,3,71,N/A,N/A,N/A,N/A,3,True,True
ZONE-LHR-0105,Monitored Physical Station,1,279,59,110,109,278,14.68,18.63,0.102,-5.53,109,True,True
ZONE-LHR-0106,Monitored Physical Station,1,264,46,110,104,260,10.64,13.71,0.157,2.09,104,True,True
ZONE-LHR-0107,Monitored Physical Station,1,424,206,103,103,412,11.44,14.24,0.118,5.86,103,True,True
ZONE-LHR-0108,Monitored Physical Station,3,763,59,110,109,278,12.32,15.63,0.232,2.54,109,True,True
ZONE-LHR-0109,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0110,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0111,Monitored Physical Station,1,424,199,110,110,419,10.13,13.55,0.369,2.55,110,True,True
ZONE-LHR-0112,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0113,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0114,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0115,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0116,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0117,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0118,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0119,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0120,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0121,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0122,Monitored Physical Station,1,392,176,102,101,379,11.96,14.59,0.247,5.56,101,True,True
ZONE-LHR-0123,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0124,Monitored Physical Station,1,259,112,101,35,248,15.04,19.82,0.323,0.3,35,True,True
ZONE-LHR-0125,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0126,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0127,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0128,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0129,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0130,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0131,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0132,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0133,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0134,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0135,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0136,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0137,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0138,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0139,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0140,Monitored Physical Station,2,319,57,104,66,227,13.58,16.46,0.176,3.34,66,True,True
ZONE-LHR-0141,Monitored Physical Station,1,118,17,76,15,108,40.34,63.72,-0.19,-14.23,15,True,True
ZONE-LHR-0142,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0143,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0144,Monitored Physical Station,1,221,8,110,97,215,15.35,17.14,-0.101,11.44,97,True,True
ZONE-LHR-0145,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0146,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
