dataset_slice,evaluation_type,N,MAE,RMSE,R2_sklearn,R2_manual,Bias,Median_AE,P95_AE,Pearson_r,Spearman_rho
Full Dataset,IN-SAMPLE (Fitted 2-Year Record),11507,14.52,21.16,0.93,0.93,3.28,10.68,40.15,0.965,0.894
Train Set,IN-SAMPLE (Fitted Training Split),4616,11.0,14.76,0.977,0.977,1.7,8.54,29.42,0.989,0.979
Validation Set,VALIDATION HOLDOUT (Jan-May 2026),3515,20.93,30.22,0.757,0.757,6.22,14.87,62.53,0.877,0.87
Final Test Set,FUTURE TEST HOLDOUT (May-Aug 2026),3376,12.67,16.65,0.309,0.309,2.37,10.71,30.78,0.569,0.578
Winter (Nov-Jan),DESCRIPTIVE SEASONAL SLICE,2701,17.43,27.66,0.9,0.9,1.38,11.17,57.51,0.95,0.942
Monsoon (Jun-Sep),DESCRIPTIVE SEASONAL SLICE,4283,10.98,14.32,0.479,0.479,2.44,8.97,27.05,0.706,0.655
"Transition (Feb-May,Oct)",DESCRIPTIVE SEASONAL SLICE,4523,16.13,22.08,0.853,0.853,5.2,12.22,44.41,0.929,0.87
High Pollution (>=100 ug/m3),VALIDATION SUBSET,1289,27.1,38.46,0.518,0.518,-0.69,19.73,79.23,0.741,0.664
Severe Pollution (>=150 ug/m3),VALIDATION SUBSET,504,34.9,48.3,0.363,0.363,-14.06,24.68,96.1,0.683,0.525
